기사 타이틀,본문
바누아투 솔라 서남서쪽 바다서 규모 6.1 지진 발생,"[






기상청 제공





 (서울=연합뉴스) 22일 오전 6시 11분 49초(한국시간) 바누아투 솔라 서남서쪽 41km 해역에서 규모 6.1의 지진이 발생했다고 기상청이 외국 관측 기관 등을 인용해 전했다.
 진앙은 남위 14.00도, 동경 167.19도이며 지진 발생 깊이는 188km다.
 weather_news@yna.co.kr

광고





제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:32 송고

]"
"울산시, 지방공기업 경영평가 '우수기관' 선정","[








김근주 기자
기자 페이지











울산시청
[연합뉴스 자료사진]




 (울산=연합뉴스) 김근주 기자 = 울산시는 행정안전부 주관 전국 지방공기업 경영평가에서 9개 광역자치단체 하수도 분야 직영기업 중 1위를 달성해 우수기관으로 선정됐다고 22일 밝혔다.
 시는 이날 부산에서 열리는 제18회 지방공공기관의 날 기념식에서 국무총리 표창을 받는다.
 이는 1994년 경영평가 제도 시행 이래 울산시가 거둔 최고 성적이다.

광고



 이번 평가에서 울산시는 건전한 재정 운영, 재난에 대비한 철저한 대책 수립, 관리자 지도력 발휘 등에 노력한 점이 좋은 점수를 받았다.
 특히, 효율적인 공정 운영 분야에서 탁월한 성적을 거둔 것으로 알려졌다.
 시 관계자는 ""전국에서 유일하게 분류식 하수관로를 100% 설치해 빗물과 생활오수를 따로 내보내면서 도심 하천에 오·폐수 노출이 없도록 관리하는 등 오랜 기간 노력을 기울인 결과""라고 말했다.
 canto@yna.co.kr


관련기사



울주군, 기초자치제 정부혁신평가 국무총리 표창 5년 연속 수상
울산시, 상반기 재정집행 특·광역시 1위…북·동구 우수기관
울산 중구, 인구정책 추진 우수…복지부 장관 표창 받아
울산보건환경연구원, 토양 분야 국제 숙련도 '우수기관' 인증




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:29 송고

]"
"북한, 정치국회의서 김정은 방러 결과 보고…""조치 적극 실행""(종합)","[








김지헌 기자
기자 페이지











작별인사하는 김정은과 푸틴
(평양 조선중앙통신=연합뉴스) 북한 김정은 국무위원장의 러시아 방문을 환영해 블라디미르 푸틴 러시아 대통령이 지난 13일 연회를 마련했다고 조선중앙통신이 14일 보도했다. 2023.9.14  [국내에서만 사용가능. 재배포 금지. For Use Only in the Republic of Korea. No Redistribution] nkphoto@yna.co.kr




 (서울=연합뉴스) 김지헌 기자 = 북한이 지난 20일 당 중앙위원회 제8기 제16차 정치국 회의를 열어 김정은 국무위원장이 참가한 가운데 그의 러시아 방문 결과를 논의했다.
 22일 조선중앙통신에 따르면 김 위원장은 회의에서 ""모든 분야에서 쌍무관계를 보다 활성화하고 새로운 높은 단계로 발전시키기 위한 건설적인 조치들을 적극적으로 실행""해야 함을 언급했다.
 그는 또 ""각 분야의 협조를 다방면적으로 확대 발전시키기 위한 조로(북러) 해당 부문들 사이 긴밀한 접촉과 협동을 강화해 두 나라 인민의 복리증진에 실질적으로 이바지해야 한다""고 강조했다.

광고



 방문 결과 보고를 맡은 김성남 당 국제부장은 김정은의 러시아 방문이 가지는 의의에 대해 분석하고 북러 관계 발전계획들을 소개했다.
 보고에서는 ""김정은 동지께서 9월 12일부터 17일까지 러시아의 여러 지역을 방문하신 데 대한 상세한 정형이 통보됐으며 이번 방문을 계기로 조로 관계가 새로운 전략적 높이에 올라서고 세계 정치지형에 근본적 변화가 일어난 데 대해 언급됐다""고 통신은 전했다.
 정치국은 김정은이 진행한 대외활동 성과를 실천적이고 전면적으로 구현해나가기 위한 일련의 방도적 문제를 토의했다고 통신은 덧붙였다.
 정치국은 당 대회나 당 중앙위원회 전원회의가 열리지 않을 때 당내 의사결정을 담당하는 권력기구로, 김정은 시기 들어 주요 안건들이 정치국 회의에서 결정되고 있다.
 김정은이 귀국한 뒤 처음 열린 이번 정치국 회의를 통해 북한은 무기거래와 경제 협력 등 러시아와 논의했을 사안들을 본격적으로 진행하기 위한 방안을 강구했을 것으로 추정된다.
 김정은은 이날 러시아 방문을 수행했던 대표단과 기념사진을 찍었고, 러시아 방문 성과 축하를 위해 정치국이 마련한 저녁 연회에 참석했다.
 김정은은 지난 13일 러시아 보스토치니 우주기지에서 블라디미르 푸틴 대통령과 정상회담을 했다.
 jk@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:28 송고

]"
대구·경북 가끔 구름 많음…낮 기온 24∼27도,"[








이승형 기자
기자 페이지











가을, 핑크뮬리의 계절
[연합뉴스 자료 사진]




 (대구=연합뉴스) 이승형 기자 = 금요일인 22일 대구·경북은 가끔 구름이 많겠다.
 이날 오전 5시 현재 주요 지역의 기온은 대구 18.1도, 경산 17.8도, 구미 17.6도, 포항 17.8도, 영천 17.5도, 안동 16.3도 등이다.
 낮 기온은 24∼27도로 예상된다.

광고



 미세먼지 농도는 '좋음'으로 전망된다.
 당분간 내륙을 중심으로 낮과 밤의 기온 차가 10∼15도로 크겠으니 건강 관리에 유의해야 한다.
 haru@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:28 송고

]"
강원 낮 최고 23∼27도…큰 일교차 주의,"[








이상학 기자
기자 페이지





 (춘천=연합뉴스) 이상학 기자 = 22일 강원도는 대체로 맑은 날씨를 보이겠다. 
 낮 기온은 내륙 25∼27도, 산지 21∼23도, 동해안 24∼26도로 예상된다.






안개속 산책길
[연합뉴스 자료사진]




 이날 오전 5시 현재 기온은 춘천 14.7도, 원주 15.4도, 강릉 14.5도, 동해 13.6도, 평창 13.6도, 태백 9.8도 등이다.

광고



 내륙과 산지를 중심으로 아침 최저기온이 10도 내외로 떨어지고 강이나 호수, 골짜기 주변에 짙은 안개가 끼는 곳이 있겠다.
 기상청은 ""내륙과 산지를 중심으로 낮과 밤의 기온차가 15도 내외로 크겠으니 건강 관리에 유의해야 한다""고 당부했다.
 hak@yna.co.kr
 ※ 이 기사는 엔씨소프트의 인공지능 기술인 자연어처리기술(NLP)과의 협업을 통해 제작되었습니다. 인공지능이 쓴 초고와 기상청 데이터 등을 토대로 취재 기자가 최종 기사를 완성했으며 데스킹을 거쳤습니다. 
 기사의 원 데이터인 기상청 기상예보는 웹사이트(https://www.weather.go.kr)에서도 확인할 수 있습니다. 

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:27 송고

]"
태안서 야간 해루질하던 60대 실종…수색 중,"[








박주영 기자
기자 페이지











태안해양경찰서 현판
[연합뉴스 자료사진]




 (태안=연합뉴스) 박주영 기자 = 충남 태안의 한 갯벌에서 야간 해루질(갯벌에서 조개 등 수산물을 채취하는 것)을 하던 60대가 실종돼 해경이 수색에 나섰다. 
 22일 충남 태안해양경찰서에 따르면 이날 오전 2시44분께 태안군 이원면 한 갯벌에서 해루질하던 A(63)씨가 실종됐다. 
 A씨 일행은 ""셋이 함께 어패류를 잡고 있었는데, A씨가 보이지 않는다""며 신고했다. 

광고



 해경은 사고 해역을 중심으로 경비함정과 민간 구조선 등을 동원해 합동 수색을 벌이고 있다. 
 jyoung@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:27 송고

]"
"울산 지역 생산 달걀, 농약·항생제 기준 모두 '적합'","[








김근주 기자
기자 페이지











달걀
[연합뉴스 자료사진]




 (울산=연합뉴스) 김근주 기자 = 울산시보건환경연구원은 지역 산란계 농장에서 생산한 달걀을 대상으로 농약 등 유해잔류물질과 미생물을 검사한 결과, 모두 '적합' 판정을 받았다고 22일 밝혔다.
 이번 검사는 추석을 맞아 식용 달걀 안전성을 확인하고 부적합한 달걀 유통을 사전에 차단하기 위해 진행됐다.
 보건환경연구원은 산란계 농장 9곳에서 생산된 달걀을 수거해 유해 잔류물질 70종(살충제 34종·항생제 36종), 살모넬라균(3종), 이물·변질·부패란 검사를 했다.

광고



 검사 결과 농가 9곳 모두 적합 판정을 받았다.
 보건환경연구원은 10월까지 전통시장, 대형마트, 식용란 수집판매업 등을 대상으로 유통단계 달걀을 점검할 방침이다.
 canto@yna.co.kr


관련기사



울산보건환경연구원, 식품 잔류농약 분야 국제숙련도평가 '만족'
울산 해안서 올해 첫 비브리오패혈증균 검출
울산 지역 유통 농수산물·가공식품 방사능 검사 결과 '안전'




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:27 송고

]"
"울산시, 재난 관리 체계 대폭 강화…""차바 이후 인명피해 없어""","[








김근주 기자
기자 페이지






호우 예고 때부터 둔치·산책로·잠수교·징검다리 선제적 통제·대피 







'침수 막아라'…대형 양수기 설치
울산시 중구 태화시장 주변에 대형 양수기가 설치되고 있다. 2023.8.9 yongtae@yna.co.kr




 (울산=연합뉴스) 김근주 기자 = 울산시는 정보통신기술(ICT) 기반 시스템 구축·확대 등을 통해 재난 감시 기능을 강화하고 있다고 22일 밝혔다.
 시는 우선, 주요 하천 홍수 수리 모형 분석과 ICT를 활용한 '홍수재해관리시스템'을 2018년 구축한 이후, 강우 때마다 피해 우려 지역을 예측하고 관련기관에 신속 전파해 사전통제, 대피 등 안전조치를 선제적으로 하고 있다고 설명했다.
 차단기와 감시 카메라(CCTV) 등으로 이뤄진 '자동차단시설'을 둔치주차장, 지하차도, 강변 산책로, 잠수교 등에 설치하고 차량 침수 위험 신속 재난문자 알림 시스템을 가동 중이다.

광고



 또, 전역에 설치된 재난, 산불, 태풍, 방범 등 CCTV 9천630대 영상을 통합 관리하고 구·군 재난부서, 재난안전경보상황실, 119종합상황실 등과 영상을 공동으로 활용한다.
 방재 목표도 상향했다.
 기존에는 호우주의보가 발효 때 둔치, 산책로, 잠수교, 징검다리 등을 통제했으나 올해는 호우예비특보 발표 또는 야간 호우가 전망될 때 곧바로 통제에 들어갔다.
 침수 위험 지하차도에는 사전 통제 책임 담당자를 지정하고 저지대 침수 방지시설 설치를 지원했다.
 상습 침수 지역인 태화시장에는 소방 대용량포 방사시스템을 배치했다.
 시 관계자는 ""울산은 2016년 태풍 '차바' 이후 지금까지 단 한명의 인명피해도 없었고, 둔치주차장 차량 침수 피해도 '0'을 이어가고 있다""며 ""2020년과 2022년에는 행정안전부 여름철 자연 재난 대책 추진 평가에서 우수기관으로 선정됐다""고 말했다.
 canto@yna.co.kr


관련기사



울산시, '추석 연휴 종합대책' 추진…물가 안정 등 10개 분야
울산 공공데이터 활용 창업경진대회서 6개 팀 수상
제6호 태풍 '카눈' 대비…울산시, 긴급 점검회의




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:26 송고

]"
"바이든 ""우크라 장기 안보 보장""…젤렌스키 ""우린 진정한 동맹""","[








김동현 기자
기자 페이지






9개월만에 백악관회담…지원 여론 약화·반격난항에 계속 지원 요청







바이든 美 대통령과 젤렌스키 우크라 대통령
(워싱턴 EPA=연합뉴스) 조 바이든 미국 대통령이 21일(현지시간) 워싱턴DC 백악관에서 볼로디미르 젤렌스키 우크라이나 대통령과 회담하고 있다. 2023.9.21




 (워싱턴=연합뉴스) 김동현 특파원 = 조 바이든 미국 대통령이 러시아와의 전쟁에서 미국의 지속적인 지원을 요청하기 위해 9개월 만에 미국을 다시 찾은 볼로디미르 젤렌스키 우크라이나 대통령에게 계속 돕겠다는 입장을 밝혔다. 
 바이든 대통령과 젤렌스키 대통령은 21일(현지시간) 워싱턴DC 백악관에서 회담하고 우크라이나 군사 지원 문제 등을 논의했다. 
 두 정상의 백악관 회담은 젤렌스키 대통령의 작년 12월 방문에 이어 9개월여만이다.

광고



 바이든 대통령은 회담 전 발언에서 ""미국은 주요 7개국(G7) 및 다른 파트너와 함께 우크라이나의 장기 안보를 보장하겠다는 약속을 공식화한다""며 ""우리는 우크라이나의 주권과 영토 보전을 존중하는 정의롭고 항구적인 평화를 지지한다""고 말했다. 
 젤렌스키 대통령은 ""우크라이나의 어린이, 가족, 가정, 세계 자유와 민주주의를 지키기 위해 우리 동맹을 강화하려고 워싱턴에 왔다""고 밝혔다.
 그러면서 그는 ""양국은 정말로 진정한 동맹""이라며 지금까지 미국의 지원에 감사를 표했다. 
 젤렌스키 대통령의 이번 방문은 우크라이나가 지난 6월 대대적으로 개시한 반격 작전이 러시아의 저항에 부닥쳐 큰 성과를 내지 못해 미국의 군사 지원이 절박한 상황에서 이뤄졌다. 
 바이든 대통령은 의회에 240억달러 규모의 우크라이나 추가 지원안을 승인해달라고 요청했지만, 전쟁 장기화로 인한 피로도가 쌓이면서 공화당 강경파를 비롯해 일부 국민의 반대 기류가 예전보다 커졌다. 
 젤렌스키 대통령은 이번 방문이 얼마나 중요하냐는 취재진의 질문에 ""매우 중요하다""고 답하며 절박함을 표현했다.
 이번 방문에는 젤렌스키 대통령의 부인 올레나 젤렌스카 여사도 동행했다.
 이는 젤렌스키 대통령 부부가 바이든 대통령 부부와 개인적인 친분을 쌓으려 적극적으로 노력해왔다는 점에서 의미가 크다고 뉴욕타임스(NYT)는 평가했다.
 젤렌스키 대통령은 백악관 회담에 앞서 의회에서 공화당과 민주당 지도부를 만나 계속된 지원을 호소했고, 특히 방공무기와 함께 전선에서 멀리 떨어져 있는 러시아의 후방 지원부대를 타격할 수 있는 에이태큼스(ATACMS) 지대지전술 미사일이 가장 필요하다고 밝혔다. 
 bluekey@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:23 송고

]"
◇내일의 경기(23·24일),"[








이영호 기자
기자 페이지





 ◆23일(토)
 △프로야구= 한화-LG(잠실) kt-KIA(광주) 롯데-SSG(인천) 두산-NC(창원·이상 17시)
 △프로축구= 대전-수원(14시·대전월드컵경기장) 제주-서울(16시30분·제주월드컵경기장)

광고



 △골프= 코리안투어 iMBank 오픈(파미힐스 CC)
 KLPGA 투어 하나금융그룹 챔피언십(베어즈베스트 청라)
 △프로축구2부= 성남-충북청주(13시30분·탄천종합운동장) 김천-안양(16시·김천종합운동장) 전남-천안(18시30분·광양전용구장)
 △테니스= 제3차 한국실업연맹전(영월스포츠파크)
 ITF 안동국제주니어대회(안동시민운동장)
 ◆24일(일)
 △프로야구= 한화-LG(잠실) kt-KIA(광주) 롯데-SSG(인천) 두산-NC(창원·이상 14시)
 △프로축구= 광주-전북(광주전용구장) 수원FC-울산(수원종합운동장·이상 14시) 강원-인천(16시30분·강릉종합운동장) 대구-포항(19시·19시·DGB대구은행파크)
 △골프= 코리안투어 iMBank 오픈(파미힐스 CC)
 KLPGA 투어 하나금융그룹 챔피언십(베어즈베스트 청라)
 △프로축구2부= 김포-충남아산(13시30분·김포솔터축구장) 서울 이랜드-안산(16시·목동종합운동장) 부천-경남(18시30분·부천종합운동장)
 △테니스= 제3차 한국실업연맹전(영월스포츠파크)
 ITF 안동국제주니어대회(안동시민운동장)
 (서울=연합뉴스)

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:15 송고

]"
